uid,namedLocation,domainID,siteID,startCollectDate,endCollectDate,archiveID,archiveIDCode,archiveVialIDList,archiveSampleCode,archivedCount,archiveMedium,archiveFacilityID,deprecatedVialID
"dd05e4bc-f120-4a07-8b56-3165d0efe917","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-10T14:24Z","UNDE.2023.32.CULMEL.F.A",,"UNDE.2023.32.CULMEL.F.A.01","W00000003196",8,"Frozen -80C",,
"d260ee7c-efdf-4271-a4e4-e008fd788499","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:27Z","UNDE.2023.32.COQPER.M.A",,"UNDE.2023.32.COQPER.M.A.01","W00000003199",33,"Frozen -80C",,
"1de11e54-6aea-4218-985f-fe41034ce848","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:27Z","UNDE.2023.32.ANOPUN.F.A",,"UNDE.2023.32.ANOPUN.F.A.01","W00000003202",103,"Frozen -80C",,
"a4a8d08f-c593-4440-9d65-494c1fe59da0","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:30Z","UNDE.2023.32.AEDCIN.F.A",,"UNDE.2023.32.AEDCIN.F.A.01","W00000003294",282,"Frozen -80C",,
"af0a9391-87c6-42ea-a682-7d7c79a27c22","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:30Z","UNDE.2023.32.AEDDIA.F.A",,"UNDE.2023.32.AEDDIA.F.A.02","W00000003414",368,"Frozen -80C",,
"9fd14678-a943-4a6d-927a-2657bdf2351b","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:30Z","UNDE.2023.32.AEDEXC.F.A",,"UNDE.2023.32.AEDEXC.F.A.01","W00000003412",519,"Frozen -80C",,
"3d0a5f76-fa85-4116-9797-6d54694a8388","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:30Z","UNDE.2023.32.AEDPUN.F.A",,"UNDE.2023.32.AEDPUN.F.A.01","W00000003409",223,"Frozen -80C",,
"f8fb9f4c-bcfa-49b8-a5e3-a54bda4f376c","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:30Z","UNDE.2023.32.AEDCAN3.F.A",,"UNDE.2023.32.AEDCAN3.F.A.01","W00000003200",39,"Frozen -80C",,
"06399f60-8e8f-4f00-9119-3f2060d6d011","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:30Z","UNDE.2023.32.AEDCOM.F.A",,"UNDE.2023.32.AEDCOM.F.A.01","W00000003410",419,"Frozen -80C",,
"9a274585-8625-4ff6-91f9-95700a0e87df","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:30Z","UNDE.2023.32.AEDSTI1.F.A",,"UNDE.2023.32.AEDSTI1.F.A.01","W00000003198",26,"Frozen -80C",,
"e38b8c68-a897-4020-af25-cea3904ad08e","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:30Z","UNDE.2023.32.COQPER.F.A",,"UNDE.2023.32.COQPER.F.A.02","W00000003416",535,"Frozen -80C",,
"99fba758-a99e-4848-ba64-48fef843f3aa","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:30Z","UNDE.2023.32.COQPER.F.A",,"UNDE.2023.32.COQPER.F.A.01","W00000003415",535,"Frozen -80C",,
"1ba046b8-3423-497b-bd85-fe33e4c4ae40","UNDE","D05","UNDE","2023-08-09T23:13Z","2023-08-11T00:30Z","UNDE.2023.32.AEDDIA.F.A",,"UNDE.2023.32.AEDDIA.F.A.01","W00000003413",367,"Frozen -80C",,
"cbace0c0-2399-427f-94d1-4951719b7fe5","UNDE_071.mosquitoPoint.mos","D05","UNDE","2023-08-09T23:26Z","2023-08-10T12:44Z","UNDE.2023.32.ANOWAL.F.A",,"UNDE.2023.32.ANOWAL.F.A.01","W00000003193",1,"Frozen -80C",,
"2ed9708c-a679-40ed-827a-a2be64b0816c","UNDE","D05","UNDE","2023-08-09T23:26Z","2023-08-10T14:05Z","UNDE.2023.32.AEDVEX.F.A",,"UNDE.2023.32.AEDVEX.F.A.01","W00000003195",6,"Frozen -80C",,
"1b3a04b9-d8f9-43ce-a66c-ee277e3b896a","UNDE","D05","UNDE","2023-08-09T23:26Z","2023-08-10T14:24Z","UNDE.2023.32.CULMOR.F.A",,"UNDE.2023.32.CULMOR.F.A.01","W00000003197",12,"Frozen -80C",,
"02727766-9653-4ae5-b561-a8841c9638b7","UNDE_071.mosquitoPoint.mos","D05","UNDE","2023-08-09T23:26Z","2023-08-10T23:14Z","UNDE.2023.32.AEDPRO.F.A",,"UNDE.2023.32.AEDPRO.F.A.01","W00000003194",2,"Frozen -80C",,
"8ccd8fec-67cc-42aa-ad11-91fe39aa170b","UNDE","D05","UNDE","2023-08-09T23:26Z","2023-08-11T00:30Z","UNDE.2023.32.AEDSPP.F.A",,"UNDE.2023.32.AEDSPP.F.A.01","W00000003411",448,"Frozen -80C",,
"81d0c111-58a7-4ae6-bbe7-cc802decc70a","UNDE","D05","UNDE","2023-08-09T23:26Z","2023-08-11T00:30Z","UNDE.2023.32.AEDFIT.F.A",,"UNDE.2023.32.AEDFIT.F.A.01","W00000003201",46,"Frozen -80C",,
"cca37ea2-3a28-4be0-bc76-a87519f41a3c","UNDE","D05","UNDE","2023-08-23T22:39Z","2023-08-24T14:02Z","UNDE.2023.34.COQPER.M.A",,"UNDE.2023.34.COQPER.M.A.01","W00000003205",6,"Frozen -80C",,
"a2870483-ef02-4bd6-a6c4-e2d3ecddea44","UNDE","D05","UNDE","2023-08-23T22:39Z","2023-08-25T00:20Z","UNDE.2023.34.CULMEL.F.A",,"UNDE.2023.34.CULMEL.F.A.01","W00000003210",18,"Frozen -80C",,
"811e9014-4c93-4872-a050-ac3e6aef1d5d","UNDE","D05","UNDE","2023-08-23T22:39Z","2023-08-25T00:25Z","UNDE.2023.34.COQPER.F.A",,"UNDE.2023.34.COQPER.F.A.01","W00000003418",501,"Frozen -80C",,
"bedb9147-c046-44cc-b721-e8da8a5f3963","UNDE","D05","UNDE","2023-08-23T22:39Z","2023-08-25T00:25Z","UNDE.2023.34.AEDEXC.F.A",,"UNDE.2023.34.AEDEXC.F.A.02","W00000003421",560,"Frozen -80C",,
"e571946a-9e57-4a8e-8aae-f7f822de2867","UNDE","D05","UNDE","2023-08-23T22:39Z","2023-08-25T00:25Z","UNDE.2023.34.ANOPUN.F.A",,"UNDE.2023.34.ANOPUN.F.A.01","W00000003213",37,"Frozen -80C",,
"ee57ce44-221f-4fab-a369-e83f2376d7aa","UNDE","D05","UNDE","2023-08-23T22:39Z","2023-08-25T00:25Z","UNDE.2023.34.AEDCIN.F.A",,"UNDE.2023.34.AEDCIN.F.A.01","W00000003419",503,"Frozen -80C",,
"b27db17d-c276-4eec-8097-d8901e4d6c4d","UNDE","D05","UNDE","2023-08-23T22:39Z","2023-08-25T00:25Z","UNDE.2023.34.AEDEXC.F.A",,"UNDE.2023.34.AEDEXC.F.A.01","W00000003420",560,"Frozen -80C",,
"17ebf6c4-2607-46c7-961f-47288f55277a","UNDE","D05","UNDE","2023-08-23T22:39Z","2023-08-25T00:25Z","UNDE.2023.34.AEDDIA.F.A",,"UNDE.2023.34.AEDDIA.F.A.01","W00000003295",138,"Frozen -80C",,
"c0cc2c75-4223-4038-85c7-ab35c40f1643","UNDE","D05","UNDE","2023-08-23T22:39Z","2023-08-25T00:25Z","UNDE.2023.34.AEDSTI1.F.A",,"UNDE.2023.34.AEDSTI1.F.A.01","W00000003208",13,"Frozen -80C",,
"14dcbd38-7735-4210-84e8-3d89ee997bd1","UNDE","D05","UNDE","2023-08-23T22:39Z","2023-08-25T00:25Z","UNDE.2023.34.AEDPUN.F.A",,"UNDE.2023.34.AEDPUN.F.A.01","W00000003214",48,"Frozen -80C",,
"33f49c3c-34b5-45ac-afc6-2fbfeba650a4","UNDE","D05","UNDE","2023-08-23T22:39Z","2023-08-25T00:25Z","UNDE.2023.34.AEDSPP.F.A",,"UNDE.2023.34.AEDSPP.F.A.01","W00000003417",323,"Frozen -80C",,
"a532b7ac-60d1-4314-b8e2-f688bf999eef","UNDE","D05","UNDE","2023-08-23T22:56Z","2023-08-24T12:58Z","UNDE.2023.34.CULMOR.F.A",,"UNDE.2023.34.CULMOR.F.A.01","W00000003207",8,"Frozen -80C",,
"4daa2cc6-a101-4a9e-bb80-747b2781c7f6","UNDE","D05","UNDE","2023-08-23T22:56Z","2023-08-24T23:43Z","UNDE.2023.34.ANOWAL.F.A",,"UNDE.2023.34.ANOWAL.F.A.01","W00000003204",6,"Frozen -80C",,
"05ca02cd-8380-4610-b540-63728eda374f","UNDE","D05","UNDE","2023-08-23T22:56Z","2023-08-25T00:13Z","UNDE.2023.34.AEDVEX.F.A",,"UNDE.2023.34.AEDVEX.F.A.01","W00000003206",8,"Frozen -80C",,
"7adeb817-bc41-4737-ac8c-05e0ef18b142","UNDE","D05","UNDE","2023-08-23T22:56Z","2023-08-25T00:25Z","UNDE.2023.34.AEDCAN3.F.A",,"UNDE.2023.34.AEDCAN3.F.A.01","W00000003212",31,"Frozen -80C",,
"1e3a52be-b995-43f0-bb50-ceef18d9fbde","UNDE","D05","UNDE","2023-08-23T22:56Z","2023-08-25T00:25Z","UNDE.2023.34.AEDFIT.F.A",,"UNDE.2023.34.AEDFIT.F.A.01","W00000003211",26,"Frozen -80C",,
"43015937-877f-4f91-81af-5bbe7c324a8e","UNDE","D05","UNDE","2023-08-23T23:30Z","2023-08-25T00:25Z","UNDE.2023.34.AEDTRI1.F.A",,"UNDE.2023.34.AEDTRI1.F.A.01","W00000003203",2,"Frozen -80C",,
"aa5a725f-bdf2-45e5-b3b9-296e438d664b","UNDE","D05","UNDE","2023-08-24T12:13Z","2023-08-25T00:13Z","UNDE.2023.34.AEDCOM.F.A",,"UNDE.2023.34.AEDCOM.F.A.01","W00000003209",17,"Frozen -80C",,
