site,month,trapHours
ABBY,2023-05,13.2
ABBY,2023-05,0.0
ABBY,2023-05,12.2
ABBY,2023-05,12.1
ABBY,2023-05,11.8
ABBY,2023-05,12.0
ABBY,2023-05,11.8
ABBY,2023-05,11.6
ABBY,2023-05,11.4
ABBY,2023-05,11.3
ABBY,2023-05,11.5
ABBY,2023-05,11.4
ABBY,2023-05,11.0
ABBY,2023-05,10.5
ABBY,2023-05,11.2
ABBY,2023-05,11.2
ABBY,2023-05,12.1
ABBY,2023-05,12.0
ABBY,2023-05,13.4
ABBY,2023-05,0.0
UNDE,2023-04,14.6
UNDE,2023-04,14.5
UNDE,2023-04,14.5
UNDE,2023-04,0.0
UNDE,2023-04,13.0
UNDE,2023-04,13.0
UNDE,2023-04,0.0
UNDE,2023-04,0.0
UNDE,2023-04,0.0
ABBY,2023-06,12.9
ABBY,2023-06,12.7
ABBY,2023-06,12.8
ABBY,2023-06,12.9
ABBY,2023-06,13.0
ABBY,2023-06,13.1
ABBY,2023-06,13.4
ABBY,2023-06,13.4
ABBY,2023-06,13.5
ABBY,2023-06,13.4
ABBY,2023-06,11.1
ABBY,2023-06,11.1
ABBY,2023-06,11.0
ABBY,2023-06,10.9
ABBY,2023-06,10.8
ABBY,2023-06,10.7
ABBY,2023-06,10.3
ABBY,2023-06,10.2
ABBY,2023-06,10.1
ABBY,2023-06,9.9
UNDE,2023-06,12.4
UNDE,2023-06,12.5
UNDE,2023-06,12.6
UNDE,2023-06,12.6
UNDE,2023-06,12.6
UNDE,2023-06,12.6
UNDE,2023-06,12.6
UNDE,2023-06,12.7
UNDE,2023-06,12.7
UNDE,2023-06,12.7
UNDE,2023-06,12.3
UNDE,2023-06,12.3
UNDE,2023-06,12.2
UNDE,2023-06,12.3
UNDE,2023-06,12.2
UNDE,2023-06,12.2
UNDE,2023-06,12.4
UNDE,2023-06,12.4
UNDE,2023-06,12.4
UNDE,2023-06,12.4
UNDE,2023-06,12.1
UNDE,2023-06,11.5
UNDE,2023-06,11.3
UNDE,2023-06,11.1
UNDE,2023-06,10.8
UNDE,2023-06,10.5
UNDE,2023-06,10.1
UNDE,2023-06,9.7
UNDE,2023-06,9.5
UNDE,2023-06,9.2
UNDE,2023-06,14.6
UNDE,2023-06,14.3
UNDE,2023-06,14.1
UNDE,2023-06,13.7
UNDE,2023-06,13.3
UNDE,2023-06,13.0
UNDE,2023-06,12.8
UNDE,2023-06,12.5
UNDE,2023-06,12.4
UNDE,2023-06,11.9
UNDE,2023-06,12.5
UNDE,2023-06,12.4
UNDE,2023-06,12.4
UNDE,2023-06,12.4
UNDE,2023-06,12.3
UNDE,2023-06,11.4
UNDE,2023-06,11.4
UNDE,2023-06,11.3
UNDE,2023-06,11.3
UNDE,2023-06,11.3
UNDE,2023-06,12.0
UNDE,2023-06,12.0
UNDE,2023-06,12.0
UNDE,2023-06,12.0
UNDE,2023-06,12.0
UNDE,2023-06,12.1
UNDE,2023-06,12.1
UNDE,2023-06,12.2
UNDE,2023-06,12.3
UNDE,2023-06,12.3
ABBY,2023-07,14.4
ABBY,2023-07,14.1
ABBY,2023-07,13.5
ABBY,2023-07,12.7
ABBY,2023-07,12.9
ABBY,2023-07,13.6
ABBY,2023-07,14.4
ABBY,2023-07,13.9
ABBY,2023-07,13.4
ABBY,2023-07,12.8
ABBY,2023-07,12.8
ABBY,2023-07,12.1
ABBY,2023-07,12.2
ABBY,2023-07,12.2
ABBY,2023-07,12.1
ABBY,2023-07,10.8
ABBY,2023-07,9.7
ABBY,2023-07,9.1
ABBY,2023-07,8.5
ABBY,2023-07,8.0
UNDE,2023-07,13.5
UNDE,2023-07,13.5
UNDE,2023-07,13.6
UNDE,2023-07,13.6
UNDE,2023-07,13.6
UNDE,2023-07,13.7
UNDE,2023-07,13.7
UNDE,2023-07,13.7
UNDE,2023-07,13.8
UNDE,2023-07,13.8
UNDE,2023-07,10.2
UNDE,2023-07,10.2
UNDE,2023-07,10.1
UNDE,2023-07,10.1
UNDE,2023-07,10.1
UNDE,2023-07,9.9
UNDE,2023-07,9.8
UNDE,2023-07,9.8
UNDE,2023-07,9.7
UNDE,2023-07,9.7
UNDE,2023-07,12.2
UNDE,2023-07,12.3
UNDE,2023-07,12.4
UNDE,2023-07,12.4
UNDE,2023-07,13.7
UNDE,2023-07,13.6
UNDE,2023-07,13.7
UNDE,2023-07,13.6
UNDE,2023-07,12.6
UNDE,2023-07,13.6
UNDE,2023-07,25.0
UNDE,2023-07,25.0
UNDE,2023-07,24.8
UNDE,2023-07,24.8
UNDE,2023-07,23.6
UNDE,2023-07,23.6
UNDE,2023-07,23.9
UNDE,2023-07,23.8
UNDE,2023-07,23.5
UNDE,2023-07,23.3
UNDE,2023-08,13.2
UNDE,2023-08,13.3
UNDE,2023-08,13.3
UNDE,2023-08,13.4
UNDE,2023-08,13.6
UNDE,2023-08,13.7
UNDE,2023-08,13.7
UNDE,2023-08,13.7
UNDE,2023-08,13.8
UNDE,2023-08,13.8
UNDE,2023-08,10.6
UNDE,2023-08,10.5
UNDE,2023-08,10.4
UNDE,2023-08,10.3
UNDE,2023-08,10.2
UNDE,2023-08,10.2
UNDE,2023-08,10.1
UNDE,2023-08,10.2
UNDE,2023-08,10.2
UNDE,2023-08,10.1
UNDE,2023-08,13.6
UNDE,2023-08,13.6
UNDE,2023-08,13.6
UNDE,2023-08,13.6
UNDE,2023-08,13.6
UNDE,2023-08,13.7
UNDE,2023-08,13.6
UNDE,2023-08,13.9
UNDE,2023-08,13.8
UNDE,2023-08,13.8
UNDE,2023-08,10.7
UNDE,2023-08,10.7
UNDE,2023-08,10.7
UNDE,2023-08,10.6
UNDE,2023-08,10.6
UNDE,2023-08,10.6
UNDE,2023-08,10.6
UNDE,2023-08,10.4
UNDE,2023-08,10.4
UNDE,2023-08,10.4
UNDE,2023-12,0.0
UNDE,2023-12,0.0
UNDE,2023-12,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-11,0.0
UNDE,2023-05,0.0
UNDE,2023-05,0.0
UNDE,2023-05,0.0
UNDE,2023-05,12.0
UNDE,2023-05,12.1
UNDE,2023-05,12.1
UNDE,2023-05,12.2
UNDE,2023-05,12.2
UNDE,2023-05,12.0
UNDE,2023-05,12.0
UNDE,2023-05,11.8
UNDE,2023-05,11.7
UNDE,2023-05,11.7
UNDE,2023-05,11.7
UNDE,2023-05,11.7
UNDE,2023-05,11.6
UNDE,2023-05,11.2
UNDE,2023-05,11.2
UNDE,2023-05,11.2
UNDE,2023-05,11.2
UNDE,2023-05,11.2
UNDE,2023-05,11.2
UNDE,2023-05,11.2
UNDE,2023-05,11.3
UNDE,2023-05,11.3
UNDE,2023-05,11.3
ABBY,2023-08,13.9
ABBY,2023-08,13.9
ABBY,2023-08,13.9
ABBY,2023-08,14.0
ABBY,2023-08,14.0
ABBY,2023-08,13.9
ABBY,2023-08,0.0
ABBY,2023-08,14.0
ABBY,2023-08,13.9
ABBY,2023-08,13.9
ABBY,2023-08,10.4
ABBY,2023-08,10.3
ABBY,2023-08,10.3
ABBY,2023-08,10.2
ABBY,2023-08,10.2
ABBY,2023-08,10.2
ABBY,2023-08,0.0
ABBY,2023-08,10.0
ABBY,2023-08,10.0
ABBY,2023-08,9.8
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-11,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-09,0.0
ABBY,2023-10,17.6
ABBY,2023-10,17.6
ABBY,2023-10,17.7
ABBY,2023-10,17.7
ABBY,2023-10,17.7
ABBY,2023-10,17.7
ABBY,2023-10,17.7
ABBY,2023-10,17.7
ABBY,2023-10,17.8
ABBY,2023-10,0.0
ABBY,2023-10,0.0
ABBY,2023-10,6.7
ABBY,2023-10,6.7
ABBY,2023-10,6.7
ABBY,2023-10,6.7
ABBY,2023-10,6.7
ABBY,2023-10,6.6
ABBY,2023-10,6.6
ABBY,2023-10,6.6
ABBY,2023-10,6.5
UNDE,2023-09,13.4
UNDE,2023-09,13.5
UNDE,2023-09,13.6
UNDE,2023-09,13.5
UNDE,2023-09,13.5
UNDE,2023-09,13.5
UNDE,2023-09,13.5
UNDE,2023-09,13.5
UNDE,2023-09,13.5
UNDE,2023-09,13.5
UNDE,2023-09,10.8
UNDE,2023-09,10.7
UNDE,2023-09,10.6
UNDE,2023-09,10.6
UNDE,2023-09,10.7
UNDE,2023-09,10.7
UNDE,2023-09,11.0
UNDE,2023-09,10.6
UNDE,2023-09,10.5
UNDE,2023-09,10.5
UNDE,2023-09,14.2
UNDE,2023-09,14.2
UNDE,2023-09,14.2
UNDE,2023-09,14.2
UNDE,2023-09,14.2
UNDE,2023-09,14.3
UNDE,2023-09,14.2
UNDE,2023-09,14.3
UNDE,2023-09,14.3
UNDE,2023-09,14.3
UNDE,2023-09,9.6
UNDE,2023-09,9.6
UNDE,2023-09,9.6
UNDE,2023-09,9.6
UNDE,2023-09,9.6
UNDE,2023-09,9.5
UNDE,2023-09,9.5
UNDE,2023-09,9.4
UNDE,2023-09,9.4
UNDE,2023-09,9.4
UNDE,2023-10,14.9
UNDE,2023-10,15.0
UNDE,2023-10,15.0
UNDE,2023-10,15.0
UNDE,2023-10,15.1
UNDE,2023-10,15.1
UNDE,2023-10,15.3
UNDE,2023-10,15.2
UNDE,2023-10,15.2
UNDE,2023-10,15.2
UNDE,2023-10,9.1
UNDE,2023-10,9.0
UNDE,2023-10,9.0
UNDE,2023-10,8.9
UNDE,2023-10,8.9
UNDE,2023-10,8.9
UNDE,2023-10,8.7
UNDE,2023-10,8.6
UNDE,2023-10,8.6
UNDE,2023-10,8.5
UNDE,2023-10,16.5
UNDE,2023-10,16.6
UNDE,2023-10,16.7
UNDE,2023-10,16.7
UNDE,2023-10,16.8
UNDE,2023-10,16.9
UNDE,2023-10,16.9
UNDE,2023-10,16.9
UNDE,2023-10,17.0
UNDE,2023-10,17.0
UNDE,2023-10,8.1
UNDE,2023-10,8.1
UNDE,2023-10,8.0
UNDE,2023-10,7.9
UNDE,2023-10,7.9
UNDE,2023-10,7.8
UNDE,2023-10,7.8
UNDE,2023-10,7.7
UNDE,2023-10,7.7
UNDE,2023-10,7.6
